#parcels,#capacity_robot,#GA_distance,nCAR_dist,t_GA,t_nCAR
200.0,3.0,7070.666666666667,4783.333333333333,18.048333168029785,1.31948717435201
200.0,4.0,6113.333333333333,3632.0,14.918049017588297,1.2487670580546062
100.0,3.0,3097.3333333333335,2472.0,9.360592444737753,0.21856904029846191
100.0,4.0,2722.0,1862.6666666666667,7.712490797042847,0.18964433670043945
60.0,3.0,1796.6666666666667,1401.3333333333333,5.796769618988037,0.0859357515970866
60.0,4.0,1516.6666666666667,1222.0,4.854787588119507,0.08539430300394694
